Date,Metric,CPI_Value
1998-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",102.1
1998-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",101.3
1998-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",101.5
1998-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",101.1
1998-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",100.1
1999-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",99.7
1999-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",99.2
1999-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",100.4
1999-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",105.5
1999-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",104.9
1999-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",104.5
1999-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",106.7
1999-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",109.5
1999-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",111.8
1999-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",112.0
1999-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",111.5
1999-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",113.8
2000-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",115.0
2000-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",118.8
2000-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",124.3
2000-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",120.9
2000-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",120.0
2000-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",126.8
2000-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",127.3
2000-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",123.8
2000-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.2
2000-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.6
2000-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.2
2000-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",130.1
2001-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",135.0
2001-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",134.1
2001-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",131.7
2001-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",132.3
2001-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",138.4
2001-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",136.9
2001-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.6
2001-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",127.3
2001-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",130.9
2001-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",122.9
2001-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",116.9
2001-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",113.9
2002-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",114.2
2002-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",113.5
2002-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",117.6
2002-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",121.5
2002-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",121.9
2002-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",121.6
2002-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",122.4
2002-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",123.1
2002-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",123.7
2002-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",126.9
2002-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",126.7
2002-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",127.1
2003-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",133.5
2003-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",140.8
2003-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",143.9
2003-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",136.5
2003-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.4
2003-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",129.8
2003-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",132.2
2003-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",137.8
2003-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",142.9
2003-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",137.8
2003-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",136.9
2003-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",138.8
2004-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",143.9
2004-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",145.8
2004-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",145.1
2004-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",143.4
2004-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",147.6
2004-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",151.5
2004-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",151.1
2004-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",151.5
2004-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",152.9
2004-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",158.6
2004-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",163.8
2004-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",162.3
2005-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",157.2
2005-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",161.8
2005-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",163.5
2005-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",166.7
2005-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",163.3
2005-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",163.7
2005-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",172.8
2005-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",183.5
2005-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.2
2005-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",205.9
2005-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",191.0
2005-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",187.6
2006-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",196.6
2006-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",194.1
2006-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",192.0
2006-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",198.5
2006-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",199.8
2006-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",199.8
2006-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",207.9
2006-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",211.9
2006-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",198.1
2006-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",184.1
2006-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",184.1
2006-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",192.7
2007-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",190.281
2007-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",192.310
2007-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",200.206
2007-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",203.307
2007-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.635
2007-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.799
2007-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.639
2007-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",206.412
2007-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",210.742
2007-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",212.386
2007-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",223.814
2007-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",225.649
2008-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",226.775
2008-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",229.731
2008-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",233.349
2008-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",234.778
2008-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",243.924
2008-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",262.081
2008-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",271.149
2008-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",262.566
2008-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",260.125
2008-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",238.065
2008-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.155
2008-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",176.583
2009-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",178.661
2009-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",183.721
2009-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",178.415
2009-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",177.552
2009-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",179.830
2009-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",197.033
2009-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.778
2009-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",201.583
2009-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",202.777
2009-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",204.719
2009-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",210.932
2009-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.915
2010-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",212.807
2010-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.624
2010-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.326
2010-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.219
2010-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",206.631
2010-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",203.764
2010-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",206.877
2010-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.770
2010-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",209.832
2010-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",216.710
2010-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",219.496
2010-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",227.130
2011-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",229.258
2011-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",232.068
2011-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",240.079
2011-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",247.977
2011-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",250.744
2011-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",245.534
2011-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",246.187
2011-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",246.880
2011-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",248.550
2011-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",246.655
2011-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",247.640
2011-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",243.353
2012-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",244.876
2012-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",248.898
2012-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.742
2012-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.677
2012-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",241.806
2012-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",235.897
2012-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",233.568
2012-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",244.987
2012-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",252.987
2012-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",256.017
2012-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",248.819
2012-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",244.708
2013-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",245.025
2013-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",255.696
2013-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",246.595
2013-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",240.473
2013-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",240.468
2013-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",242.711
2013-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",242.986
2013-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",244.833
2013-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",242.745
2013-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",241.954
2013-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",242.718
2013-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",245.733
2014-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",250.340
2014-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.925
2014-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.961
2014-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.864
2014-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.213
2014-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",249.714
2014-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",248.744
2014-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",245.699
2014-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",241.610
2014-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",237.061
2014-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",229.016
2014-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",218.536
2015-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",199.926
2015-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",203.021
2015-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",205.757
2015-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",203.577
2015-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.973
2015-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",212.015
2015-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",211.623
2015-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.579
2015-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",197.246
2015-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.616
2015-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.114
2015-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",190.143
2016-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",185.235
2016-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",176.401
2016-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",182.234
2016-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",186.713
2016-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",188.596
2016-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",192.899
2016-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",189.046
2016-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",188.772
2016-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",192.243
2016-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.979
2016-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",196.372
2016-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",199.513
2017-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",205.369
2017-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",204.133
2017-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",202.528
2017-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",202.954
2017-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",198.449
2017-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",197.808
2017-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",195.994
2017-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",201.450
2017-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",212.723
2017-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.328
2017-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",213.047
2017-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",213.574
2018-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",216.855
2018-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",220.141
2018-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",215.720
2018-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",219.165
2018-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",221.045
2018-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",220.947
2018-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",219.929
2018-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",222.781
2018-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",223.955
2018-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",226.022
2018-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",218.500
2018-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",213.630
2019-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",204.340
2019-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",208.144
2019-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",214.934
2019-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",222.420
2019-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",220.523
2019-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",214.926
2019-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",216.696
2019-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",213.847
2019-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",213.015
2019-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",215.268
2019-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",217.488
2019-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",221.180
2020-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",220.147
2020-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",214.294
2020-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",201.681
2020-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",182.586
2020-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",180.040
2020-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",188.734
2020-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",191.966
2020-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",193.307
2020-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",196.705
2020-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",196.113
2020-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",197.017
2020-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",205.670
2021-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",211.551
2021-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",219.204
2021-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",228.068
2021-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",227.637
2021-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",230.260
2021-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",234.697
2021-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",237.425
2021-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",241.446
2021-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",245.525
2021-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",254.669
2021-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",262.745
2021-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",267.047
2022-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",269.670
2022-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",275.672
2022-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",300.345
2022-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",296.071
2022-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",309.418
2022-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",332.281
2022-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",314.944
2022-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",298.772
2022-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",294.581
2022-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",299.791
2022-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",297.403
2022-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",285.672
2023-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",292.447
2023-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",289.134
2023-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",280.323
2023-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",281.500
2023-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",274.466
2023-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",277.109
2023-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",275.900
2023-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",287.508
2023-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",293.194
2023-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",286.478
2023-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",281.732
2023-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",280.311
2024-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",280.238
2024-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",283.983
2024-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",285.463
2024-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",288.138
2024-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",284.275
2024-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",279.824
2024-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",278.634
2024-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",275.863
2024-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",273.238
2024-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",272.629
2024-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",272.863
2024-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",279.455
2025-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",282.481
2025-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",283.035
2025-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",276.274
2025-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",278.118
2025-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",275.406
2025-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",278.012
2025-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",275.044
2025-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",276.936
2025-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",281.120
2025-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",-
2025-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",284.167
2025-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",285.016
1997-01-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",155.9
1997-02-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",156.5
1997-03-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",156.6
1997-04-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",156.5
1997-05-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",156.6
1997-06-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",156.9
1997-07-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",157.2
1997-08-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",157.7
1997-09-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",158.0
1997-10-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",158.3
1997-11-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",158.6
1997-12-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",158.7
1998-01-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",159.5
1998-02-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",159.4
1998-03-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",159.7
1998-04-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",159.7
1998-05-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",160.3
1998-06-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",160.2
1998-07-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",160.6
1998-08-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",161.0
1998-09-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",161.1
1998-10-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",162.0
1998-11-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",162.2
1998-12-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",162.4
1999-01-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.0
1999-02-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.3
1999-03-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.3
1999-04-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.5
1999-05-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.8
1999-06-01,"Food in U.S. city average, all urban consumers, seasonally adjusted",163.7
